类型,名称,仙草,毒草,链接,,,,,,,,
玄幻,《奈格里之魂》（校对版全本）作者：虚鸣,365,148,http://www.zxcs.me/post/11495,,,,,,,,
科幻,《我真没想当救世主啊》（校对版全本）作者：火中物,363,96,http://www.zxcs.me/post/12240,,,,,,,,
玄幻,《超级浮空城》（校对版全本）作者：诸生浮屠,361,101,http://www.zxcs.me/post/11508,,,,,,,,
仙侠,《能穿越的修行者》（校对版全本）作者：神秘男人,359,182,http://www.zxcs.me/post/11235,,,,,,,,
科幻,《电影世界穿梭门》（校对版全本）作者：龙升云霄,358,299,http://www.zxcs.me/post/11582,,,,,,,,
科幻,《影视世界当神探》（校对版全本）作者：冰原三雅,355,100,http://www.zxcs.me/post/12136,,,,,,,,
仙侠,《道辟九霄》（校对版全本）作者：太上真君,352,234,http://www.zxcs.me/post/11342,,,,,,,,
游戏,《一枪致命》（校对版全本）作者：十曜,352,143,http://www.zxcs.me/post/11396,,,,,,,,
科幻,《会穿越的外交官》（校对版全本）作者：昨夜大雨,351,139,http://www.zxcs.me/post/10697,,,,,,,,
仙侠,《拜师九叔》（校对版全本）作者：西瓜有皮不好吃,348,160,http://www.zxcs.me/post/12037,,,,,,,,
都市,《蓝白社》（校对版全本）作者：魔性沧月,347,157,http://www.zxcs.me/post/11781,,,,,,,,
科幻,《超时空穿越》（校对版全本）作者：流年往事,344,90,http://www.zxcs.me/post/10649,,,,,,,,
玄幻,《科技巫师》（校对版全本）作者：孙二十三,340,170,http://www.zxcs.me/post/11891,,,,,,,,
科幻,《无限之开荒者》（校对版全本）作者：倾世大鹏,340,168,http://www.zxcs.me/post/10947,,,,,,,,
仙侠,《青玄道主》（校对版全本）作者：中原五百,338,62,http://www.zxcs.me/post/10651,,,,,,,,
玄幻,《君临星空》（校对版全本）作者：风消逝,336,202,http://www.zxcs.me/post/11523,,,,,,,,
仙侠,《一剑斩破九重天》（校对版全本）作者：流浪的蛤蟆,332,107,http://www.zxcs.me/post/11923,,,,,,,,
游戏,《重生之我是BOSS》（校对版全本）作者：不是浮云,332,105,http://www.zxcs.me/post/10671,,,,,,,,
都市,《我只想当一个安静的学霸》（校对版全本）作者：术小城,331,169,http://www.zxcs.me/post/11663,,,,,,,,
玄幻,《秘巫之主》（校对版全本）作者：真愚老人,328,92,http://www.zxcs.me/post/12125,,,,,,,,
玄幻,《天路杀神》（校对版全本）作者：撞破南墙,323,97,http://www.zxcs.me/post/11412,,,,,,,,
都市,《天下珍藏》（校对版全本）作者：烛,323,94,http://www.zxcs.me/post/11480,,,,,,,,
游戏,《游戏开发指南》（校对版全本）作者：我爱厨房,323,82,http://www.zxcs.me/post/11023,,,,,,,,
仙侠,《破庙有神仙》（校对版全本）作者：雪满林中,319,161,http://www.zxcs.me/post/10795,,,,,,,,
都市,《变成吸血鬼是什么体验(变成血族是什么体验)》（校对版全本）作者：神行汉堡,319,100,http://www.zxcs.me/post/12550,,,,,,,,
仙侠,《太易》（校对版全本）作者：无极书虫,318,120,http://www.zxcs.me/post/10810,,,,,,,,
科幻,《位面游轮》（校对版全本）作者：横空日月,316,200,http://www.zxcs.me/post/11249,,,,,,,,
科幻,《宇宙的边缘世界》（校对版全本）作者：原艾伦,315,66,http://www.zxcs.me/post/11093,,,,,,,,
科幻,《妖魔哪里走》（校对版全本）作者：全金属弹壳,314,90,http://www.zxcs.me/post/12749,,,,,,,,
